ano,populacao,ibge7
2021,2657,3116209
2021,6811,3116308
2021,4873,3116407
2021,7478,3116506
2021,29093,3116605
2021,7631,3116704
2021,8810,3116803
2021,3128,3116902
2021,6624,3117009
2021,10351,3117108
2021,2814,3117207
2021,28782,3117306
2021,4581,3117405
2021,17438,3117504
2021,5558,3117603
2021,13729,3117702
2021,11852,3117801
2021,7730,3117836
2021,6867,3117876
2021,12209,3117900
2021,55836,3118007
2021,5047,3118106
2021,6997,3118205
2021,130584,3118304
2021,22975,3118403
2021,1786,3118502
2021,673849,3118601
2021,9099,3118700
2021,26620,3118809
2021,8903,3118908
2021,3546,3119005
2021,23607,3119104
2021,9897,3119203
2021,27958,3119302
2021,110709,3119401
2021,9209,3119500
2021,3095,3119609
2021,3448,3119708
2021,3168,3119807
2021,3685,3119906
2021,6425,3119955
2021,2688,3120003
2021,4436,3120102
2021,6814,3120151
2021,13060,3120201
2021,5992,3120300
2021,5161,3120409
2021,10211,3120508
2021,5072,3120607
2021,3651,3120706
2021,15529,3120805
2021,5026,3120839
2021,7867,3120870
2021,81085,3120904
2021,5431,3121001
2021,8007,3121100
2021,7146,3121209
2021,10994,3121258
2021,5044,3121308
2021,7266,3121407
2021,2867,3121506
2021,47924,3121605
2021,3779,3121704
2021,7493,3121803
2021,3430,3121902
2021,20020,3122009
2021,4969,3122108
2021,7655,3122207
2021,242505,3122306
2021,6946,3122355
2021,6039,3122405
2021,11396,3122454
2021,3635,3122470
2021,5025,3122504
2021,4436,3122603
2021,5227,3122702
2021,2992,3122801
2021,6664,3122900
2021,10291,3123007
2021,5139,3123106
2021,13373,3123205
2021,4202,3123304
2021,1539,3123403
2021,1915,3123502
2021,7898,3123528
2021,28556,3123601
2021,11268,3123700
2021,7240,3123809
2021,5383,3123858
2021,15458,3123908
2021,19019,3124005
2021,72512,3124104
2021,25287,3124203
2021,31603,3124302
2021,4728,3124401
2021,11416,3124500
2021,2308,3124609
2021,3483,3124708
2021,8057,3124807
2021,11383,3124906
2021,3932,3125002
2021,37649,3125101
2021,2374,3125200
2021,3202,3125309
2021,4656,3125408
